gene,AB5075_UT1,AB5075_T1,AB5075_UT2,AB5075_T2,AB5075_UT,AB5075_T3
dnaA,12116,12128,9883,4938,10340,27355
dnaN,7749,733,9298,5063,6328,9958
recF,1375,157,2025,1449,1686,821
gyrB,5608,492,8008,5923,6703,5357
ABUW_0005,8537,5365,11540,6665,19994,20191
ABUW_0006,11249,2508,11604,6421,10316,14132
ABUW_0007,809,1013,889,726,1251,2471
ABUW_0008,1958,177,463,509,1820,1366
ABUW_0009,6,1451,6652,5305,7181,8541
adeT,11748,14,53,32,25,104
ABUW_0011,764,36,49,37,40,107
ABUW_0012,777,115,153,72,148,258
anmK,466,194,2647,1887,1660,2564
tyrS,2869,11997,8426,4805,7722,21896
ABUW_0015,10574,933,1882,989,464,3064
ABUW_0016,3844,3343,2936,1913,3756,11766
ABUW_0017,7665,138,170,361,371,2533
ABUW_0018,1,0,0,0,4,9
ABUW_0019,248,0,0,0,0,0
ABUW_0020,0,1861,6269,6387,10490,4094
ABUW_0021,0,6003,10540,10855,16263,12573
ABUW_0022,5270,1284,6412,5941,2175,5807
ABUW_0023,10189,852,2749,2289,1185,3544
sun,10529,122,740,385,1428,638
fmt,4527,2310,411,361,1169,1875
ilvD,599,3018,650,462,2324,2650
ABUW_0027,2207,643,1781,1135,1197,1793
ABUW_0028,1556,6,32,45,39,61
ABUW_0029,1885,36,297,172,86,222
ABUW_0030,21,4,3,2,3,12
ppc,145,75,1533,520,812,708
ABUW_0032,3713,15,335,217,195,255
ABUW_0033,2138,25902,89722,59286,44344,137430
ABUW_0034,25145,640,9045,5111,2019,8418
ABUW_0035,23954,766,3675,1818,2845,3251
ABUW_0036,0,2,13,13,3,5
dnaJ,168,0,0,1,1,2
ABUW_0038,4,3,2,0,4,9
dapB,1572,0,0,0,0,1
ABUW_0040,438,1,3,2,3,12
ABUW_0041,1180,1015,349,206,344,728
alrA,465,21,55,39,48,116
ABUW_0043,62,28,97,65,110,144
ABUW_0044,12,1,14,8,20,24
ABUW_0045,0,57,142,95,162,410
ABUW_0046,90,566,1202,918,529,1837
tag,83,6,17,23,31,47
ABUW_0048,73,1,8,8,1,14
ABUW_0049,26,459,4626,2312,3167,2605
mutY,120,3,38,16,18,47
ABUW_0051,6,47,86,92,35,206
ABUW_0052,0,24,7,11,3,27
ABUW_0053,0,25,35,23,12,69
ABUW_0054,0,6,54,39,10,47
ABUW_0055,0,0,0,0,0,0
ABUW_0056,0,8,10,6,27,31
ABUW_0057,0,2,0,0,0,1
ABUW_0058,0,22,176,93,29,216
purC,1,349,1304,390,879,602
ABUW_0060,1,0,1,0,0,0
dapA,5,0,4,0,4,1
pncA,1,4,4,3,1,11
ABUW_0063,73,0,0,0,1,0
ABUW_0064,101,0,0,3,2,2
ABUW_0065,86,5,14,6,5,32
hppD,10,1,38,21,22,52
hmgR,279,575,4861,4303,2470,1069
ABUW_0068,51,508,3419,4032,2109,1019
maiA,146,44,326,462,127,284
fahA,433,931,2532,1962,1609,956
aroP1,1688,1074,3777,3820,3509,1113
ABUW_0072,0,1,5,2,2,35
ABUW_0073,132,4266,59482,85677,30542,8491
ABUW_0074,181,14,53,17,11,34
hutC,63,51,132,124,52,199
ABUW_0076,274,1434,2499,3584,2089,2633
hutU,513,314,275,395,442,775
hutH,127,182,76,179,120,397
ABUW_0079,157,260,91,262,155,649
hutI,2210,238,57,110,136,464
hutG,0,51,36,114,81,265
ABUW_0082,0,90,27,80,15,316
ABUW_0083,1786,25,8,39,12,111
murI1,103,4338,5053,8178,9912,15934
ABUWs001,511,638,1053,2073,1864,5310
ABUW_0085,0,0,0,0,1,5
ABUW_0086,52,0,1,0,12,35
ABUW_0087,18,545,1545,755,533,2386
ABUW_0088,329,31,94,68,142,430
glmS,371,1,2,0,1,18
glmU,1192,20,40,26,47,182
pgpA,5,7,20,12,12,49
thiL,30,16,22,35,46,61
nusB,1317,98,49,72,100,214
ribH,5,45,345,197,756,170
ribB1,109,205,967,641,833,374
ABUW_0096,192,3,7,8,0,5
serB,947,3,85,85,24,125
ABUW_0098,231,2668,1283,1672,3887,3002
ABUW_0099,81,1,9,7,8,34
dtd,43,23,217,95,109,136
pncB,37,29,48,38,22,104
ABUW_0102,44,4,27,18,20,28
psd,69,131,163,102,52,255
ABUW_0104,184,12,30,11,15,69
phoR,1777,11,29,31,13,76
phoB,329,9,64,66,42,201
ABUW_0107,431,276,686,706,458,2018
ABUW_0108,5387,124,146,225,76,331
ABUW_0109,50610,884,918,388,368,329
ABUW_0110,24,27,88,117,70,440
ABUW_0111,118,84,122,226,71,833
ABUW_0112,543,62,103,217,62,686
ABUW_0113,6096,51,146,271,68,739
gshA,243267,588,1019,971,591,3127
dsbB,1,198,391,1231,978,345
ABUW_0116,1514,858,524,1695,1168,670
ABUW_0117,3047,517,3207,2285,4470,3833
ABUW_0118,242,3389,57842,63700,37620,8788
ABUW_0119,547,0,4,6,0,6
ABUW_0120,27,15,9,20,1,86
ABUW_0121,30,498,552,534,205,352
ABUW_0122,74,3184,3567,3472,4239,6514
ABUW_0123,48,4064,953,300,8631,296
parE,74,98,179,123,68,178
allA,133,99,1811,784,842,946
allC,74,165,30,30,73,260
